doc,sec,events
1,1000,0.0
1,2000,0.25
1,3000,0.2602739726027397
1,4000,0.0
1,5000,0.9
2,1000,0.0
2,2000,0.2
2,3000,0.7777777777777778
2,4000,0.0
2,5000,0.9090909090909091
3,1000,0.0
3,2000,0.25
3,3000,0.44
3,4000,0.0
3,5000,0.9166666666666666
4,1000,0.0
4,2000,0.25
4,3000,1.4444444444444444
4,4000,0.0
4,5000,0.75
5,1000,0.0
5,2000,0.3333333333333333
5,3000,0.9285714285714286
5,4000,0.0
5,5000,0.875
6,1000,0.0
6,2000,0.25
6,3000,1.3571428571428572
6,4000,0.0
6,5000,0.9090909090909091
7,1000,0.0
7,2000,0.25
7,3000,1.4285714285714286
7,4000,0.0
7,5000,0.8333333333333334
8,1000,0.0
8,2000,0.25
8,3000,0.2608695652173913
8,4000,0.0
8,5000,1.0
9,1000,0.0
9,2000,0.25
9,3000,0.32954545454545453
9,4000,0.0
9,5000,0.75
10,1000,0.0
10,2000,0.25
10,3000,0.3684210526315789
10,4000,0.0
10,5000,0.25
11,1000,0.0
11,2000,0.25
11,3000,0.6153846153846154
11,4000,0.0
11,5000,0.9
12,1000,0.0
12,2000,0.25
12,3000,1.0
12,4000,0.0
12,5000,0.9090909090909091
13,1000,0.0
13,2000,0.25
13,3000,0.5625
13,4000,0.0
13,5000,0.9
14,1000,0.0
14,2000,0.25
14,3000,1.025
14,4000,0.0
14,5000,0.9
15,1000,0.0
15,2000,0.25
15,3000,0.90625
15,4000,0.0
15,5000,0.9
16,1000,0.0
16,2000,0.2
16,3000,0.9545454545454546
16,4000,0.0
16,5000,0.5555555555555556
17,1000,0.0
17,2000,0.25
17,3000,1.6666666666666667
17,4000,0.0
17,5000,0.3181818181818182
18,1000,0.0
18,2000,0.25
18,3000,0.5
18,4000,0.0
18,5000,0.9
19,1000,0.0
19,2000,0.25
19,3000,0.9117647058823529
19,4000,0.0
19,5000,0.875
20,1000,0.0
20,2000,0.25
20,3000,0.875
20,4000,0.0
20,5000,0.9090909090909091
21,1000,0.0
21,2000,0.25
21,3000,1.0256410256410255
21,4000,0.0
21,5000,0.1232876712328767
22,1000,0.0
22,2000,0.25
22,3000,0.5517241379310345
22,4000,0.0
22,5000,0.5625
23,1000,0.0
23,2000,0.25
23,3000,0.9090909090909091
23,4000,0.0
23,5000,0.9
24,1000,0.0
24,2000,0.3333333333333333
24,3000,0.6875
24,4000,0.0
24,5000,0.8888888888888888
25,1000,0.0
25,2000,0.25
25,3000,0.7333333333333333
25,4000,0.0
25,5000,0.875
26,1000,0.0
26,2000,0.3333333333333333
26,3000,0.6666666666666666
26,4000,0.0
26,5000,0.8888888888888888
27,1000,0.0
27,2000,0.25
27,3000,0.52
27,4000,0.0
27,5000,0.8888888888888888
28,1000,0.0
28,2000,0.3333333333333333
28,3000,1.0
28,4000,0.0
28,5000,0.9
29,1000,0.0
29,2000,0.25
29,3000,0.5384615384615384
29,4000,0.0
29,5000,0.9166666666666666
30,1000,0.0
30,2000,0.25
30,3000,0.45454545454545453
30,4000,0.0
30,5000,0.8571428571428571